City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
0,Dikson,RU,73.51,80.55,36.68,93,100,17.87,light rain,0.91,0.0
1,Beni Mazar,EG,28.5,30.8,82.92,27,0,1.81,clear sky,0.0,0.0
2,Sao Miguel Do Araguaia,BR,-13.28,-50.16,68.14,63,24,2.42,few clouds,0.0,0.0
3,Namibe,AO,-15.2,12.15,71.22,46,0,6.78,clear sky,0.0,0.0
4,Barrow,US,71.29,-156.79,37.4,86,75,10.29,broken clouds,0.0,0.0
5,Chagda,US,71.29,-156.79,37.4,86,75,10.29,broken clouds,0.0,0.0
6,Aykhal,RU,66.0,111.5,78.8,29,75,4.47,broken clouds,0.0,0.0
7,Comodoro Rivadavia,AR,-45.87,-67.5,44.6,70,33,20.8,scattered clouds,0.0,0.0
8,Griffith,US,41.53,-87.42,71.6,94,75,5.82,broken clouds,0.0,0.0
9,Upernavik,GL,72.79,-56.15,38.26,77,0,6.93,clear sky,0.0,0.0
10,Mnogovershinnyy,RU,53.94,139.92,49.62,73,51,8.16,broken clouds,0.0,0.0
11,Soligalich,RU,59.08,42.29,54.91,55,0,7.7,clear sky,0.0,0.0
12,Vila Velha,BR,-20.33,-40.29,69.8,83,0,4.7,clear sky,0.0,0.0
13,Yellowknife,CA,62.46,-114.35,70.0,37,20,13.87,few clouds,0.0,0.0
14,Saskylakh,RU,71.92,114.08,82.35,33,94,5.84,overcast clouds,0.0,0.0
15,Hirado,JP,33.36,129.55,77.0,61,75,5.82,broken clouds,0.0,0.0
16,Provideniya,RU,64.38,-173.3,60.15,38,0,4.45,clear sky,0.0,0.0
17,Jamestown,US,42.1,-79.24,64.99,93,1,3.36,clear sky,0.0,0.0
18,Puerto Ayora,EC,-0.74,-90.35,68.0,96,91,3.0,overcast clouds,0.0,0.0
19,Iranshahr,IR,27.2,60.68,98.6,32,0,6.93,clear sky,0.0,0.0
20,Inongo,CD,-1.95,18.27,69.82,67,33,5.08,scattered clouds,0.0,0.0
21,Oceanside,US,33.2,-117.38,66.2,82,90,4.7,overcast clouds,0.0,0.0
22,Katsuura,JP,35.13,140.3,78.01,94,75,3.36,light intensity shower rain,0.0,0.0
23,Atherton,GB,53.52,-2.49,57.0,95,100,5.01,light rain,0.12,0.0
24,San Policarpo,PH,12.18,125.51,85.68,72,100,10.8,overcast clouds,0.0,0.0
25,Busselton,AU,-33.65,115.33,63.0,42,0,6.35,clear sky,0.0,0.0
26,Manaure,CO,11.78,-72.44,81.66,78,100,18.41,overcast clouds,0.0,0.0
27,Rawson,AR,-43.3,-65.1,48.72,57,77,21.5,broken clouds,0.0,0.0
28,Ushuaia,AR,-54.8,-68.3,37.4,91,75,4.7,broken clouds,0.0,0.0
29,Gamba,GA,-2.65,10.0,73.78,89,98,6.02,overcast clouds,0.0,0.0
30,Barentsburg,GA,-2.65,10.0,73.78,89,98,6.02,overcast clouds,0.0,0.0
31,Moron,AR,-34.65,-58.62,53.6,93,90,16.11,overcast clouds,0.0,0.0
32,Albany,US,42.6,-73.97,73.0,75,10,1.66,clear sky,0.0,0.0
33,Cape Town,ZA,-33.93,18.42,60.01,87,40,12.75,light rain,0.51,0.0
34,Ancud,CL,-41.87,-73.82,43.0,100,20,8.05,few clouds,0.0,0.0
35,Ostrovnoy,RU,68.05,39.51,48.97,64,23,8.16,few clouds,0.0,0.0
36,Hohhot,CN,40.81,111.65,86.0,27,20,8.95,few clouds,0.0,0.0
37,Isangel,VU,-19.55,169.27,71.71,78,13,13.04,few clouds,0.0,0.0
38,Saleaula,VU,-19.55,169.27,71.71,78,13,13.04,few clouds,0.0,0.0
39,San Jeronimo,PE,-11.95,-75.28,43.66,76,15,1.25,few clouds,0.0,0.0
40,Berdigestyakh,RU,62.1,126.7,68.22,63,74,4.7,light rain,0.23,0.0
41,Taolanaro,RU,62.1,126.7,68.22,63,74,4.7,light rain,0.23,0.0
42,Puerto Cabezas,NI,14.04,-83.39,79.68,87,23,10.38,light rain,0.54,0.0
43,Touros,BR,-5.2,-35.46,71.6,94,1,2.24,light rain,0.12,0.0
44,Antalaha,MG,-14.9,50.28,75.13,90,89,13.33,moderate rain,1.38,0.0
45,Bukama,CD,-9.2,25.85,67.75,48,38,2.44,scattered clouds,0.0,0.0
46,Rikitea,PF,-23.12,-134.97,73.94,80,77,13.76,broken clouds,0.0,0.0
47,Cumaribo,PF,-23.12,-134.97,73.94,80,77,13.76,broken clouds,0.0,0.0
48,Laredo,US,27.51,-99.51,82.4,74,1,12.75,clear sky,0.0,0.0
49,Necochea,AR,-38.55,-58.74,44.01,82,89,5.99,overcast clouds,0.0,0.0
50,Codrington,AU,-38.27,141.97,52.11,84,94,8.75,light rain,0.55,0.0
51,Hilo,US,19.73,-155.09,78.8,69,90,4.7,overcast clouds,0.0,0.0
52,Mattru,SL,7.62,-11.83,74.21,93,96,0.94,overcast clouds,0.0,0.0
