City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Namibe,AO,71.22,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
8,Griffith,US,71.6,broken clouds,41.53,-87.42,"Motel 6 Hammond, IN - Chicago Area"
13,Yellowknife,CA,70.0,few clouds,62.46,-114.35,The Explorer Hotel
37,Isangel,VU,71.71,few clouds,-19.55,169.27,Volcano Sea View Tree House
38,Saleaula,VU,71.71,few clouds,-19.55,169.27,Volcano Sea View Tree House
43,Touros,BR,71.6,light rain,-5.2,-35.46,INN NEW HORIZON
63,Souillac,MU,71.6,shower rain,-20.52,57.52,Bils' Villa
72,Huitziltepec,MX,72.0,light rain,17.82,-99.47,
77,Kinshasa,CD,70.97,clear sky,-4.32,15.32,Kabinda Center
86,Los Llanos De Aridane,ES,71.6,overcast clouds,28.66,-17.92,Valle Aridane
134,Palmira,CO,71.6,broken clouds,3.54,-76.3,Hotel Las Victorias
149,Sao Joao Da Barra,BR,71.4,clear sky,-21.64,-41.05,Pousada Porto De Canoas
169,Ballina,AU,72.0,light rain,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
179,Mahebourg,MU,71.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
208,Kundiawa,PG,71.46,moderate rain,-6.02,144.97,Kundiawa Hotel
210,Zhicheng,CN,71.01,moderate rain,30.3,111.5,Wangjiang Building
230,Kewanee,US,70.0,moderate rain,41.25,-89.92,AmericInn by Wyndham Kewanee
232,Barras,BR,71.46,few clouds,-4.24,-42.29,DIMAS HOTEL
233,Sentyabrskiy,BR,71.46,few clouds,-4.24,-42.29,DIMAS HOTEL
250,Airai,TL,71.15,clear sky,-8.93,125.41,Juvinal Martin
278,La Libertad,EC,71.37,overcast clouds,-2.23,-80.9,Playa Canela Hotel Boutique
294,Ottumwa,US,70.0,broken clouds,41.02,-92.41,Hampton Inn Ottumwa
317,Severnyy,RU,71.6,scattered clouds,50.68,36.55,Full House North Mini-Hotel
328,Havelock,US,70.0,broken clouds,34.88,-76.9,Sherwood Motel
329,Orikum,AL,70.56,clear sky,40.33,19.47,Hotel Denta
351,Innisfail,AU,70.02,light rain,-17.53,146.03,Moondarra Motel
352,Mayo,US,72.0,clear sky,38.89,-76.51,Resorts Resource Group International
353,Ust-Kamchatsk,US,72.0,clear sky,38.89,-76.51,Resorts Resource Group International
368,Aldan,RU,70.07,broken clouds,58.6,125.39,Aldan Guest House
369,Freeport,US,71.01,scattered clouds,40.66,-73.58,The Freeport Inn and Marinad
373,Alekseyevka,RU,70.16,overcast clouds,50.63,38.69,Apartment on Ploshchad Pobedy
379,Verkhnyaya Balkariya,RU,71.6,scattered clouds,43.13,43.46,Верхняя Балкария
392,Indian Head,US,70.0,mist,38.6,-77.16,Red Carpet Inn
404,Lixourion,GR,70.93,clear sky,38.2,20.43,Summery Hotel
412,Acajutla,SV,71.01,light rain,13.59,-89.83,Stop.
416,Gbarnga,LR,71.19,overcast clouds,7.0,-9.47,Passion Hotel 2
432,Poum,NC,71.67,few clouds,-20.23,164.02,Gîte kajeon
447,Santa Isabel Do Rio Negro,BR,71.78,scattered clouds,-0.41,-65.02,Hotel GSA
480,Greenwood,US,70.0,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
496,Vibo Valentia,IT,71.6,light rain,38.7,16.13,Hotel Barbieri
527,Price,US,71.6,clear sky,39.6,-110.81,National 9 - Price River Inn
528,Mudyuga,US,71.6,clear sky,39.6,-110.81,National 9 - Price River Inn
534,Kamuli,UG,71.19,scattered clouds,0.95,33.12,Century Hotel Limited And laundry Services
541,Mtwara,TZ,71.6,broken clouds,-10.27,40.18,Til Hotels
574,Ampanihy,MG,70.23,overcast clouds,-24.7,44.75,Angora Hotel
592,Gold Coast,AU,70.0,scattered clouds,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
597,Mazzarino,IT,70.0,clear sky,37.3,14.21,Tenuta Bartoli Maison de Charme
598,Samalaeulu,IT,70.0,clear sky,37.3,14.21,Tenuta Bartoli Maison de Charme
599,Sao Miguel Do Oeste,IT,70.0,clear sky,37.3,14.21,Tenuta Bartoli Maison de Charme
603,Coolum Beach,AU,70.0,broken clouds,-26.53,153.1,Coolum Beach Resort
612,Kurmanayevka,RU,71.22,clear sky,52.51,52.07,
613,Envira,BR,71.65,scattered clouds,-7.3,-70.22,
