City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Key Largo,US,2020-06-18 05:27:06,25.09,-80.45,80.01,1,73,4.0
1,Butaritari,KI,2020-06-18 05:27:39,3.07,172.79,83.35,68,30,9.26
2,Chuy,UY,2020-06-18 05:27:39,-33.7,-53.46,67.3,79,100,15.57
3,Hermanus,ZA,2020-06-18 05:27:40,-34.42,19.23,48.0,80,0,1.01
4,Mao,ES,2020-06-18 05:27:40,39.89,4.27,68.0,88,40,6.93
5,Mataura,NZ,2020-06-18 05:27:40,-46.19,168.86,39.0,83,1,3.0
6,Bluff,NZ,2020-06-18 05:27:40,-46.6,168.33,39.0,83,5,3.0
7,Avarua,CK,2020-06-18 05:27:14,-21.21,-159.78,71.6,68,2,10.29
8,Solnechnyy,RU,2020-06-18 05:27:41,50.72,136.63,51.71,66,89,7.83
9,Sao Filipe,CV,2020-06-18 05:27:41,14.9,-24.5,76.8,73,3,9.17
10,Arraial Do Cabo,BR,2020-06-18 05:27:41,-22.97,-42.03,69.8,79,0,16.64
11,Norman Wells,CA,2020-06-18 05:27:41,65.28,-126.83,73.4,46,20,4.7
12,Ushuaia,AR,2020-06-18 05:27:41,-54.8,-68.3,33.8,93,1,3.36
13,Asandh,IN,2020-06-18 05:27:41,29.52,76.6,106.83,16,0,7.36
14,Rikitea,PF,2020-06-18 05:23:04,-23.12,-134.97,75.72,84,55,16.28
15,Vaini,TO,2020-06-18 05:27:42,-21.2,-175.2,69.8,88,40,12.75
16,Albany,US,2020-06-18 05:27:42,42.6,-73.97,69.01,71,59,2.3
17,Yellowknife,CA,2020-06-18 05:27:42,62.46,-114.35,53.6,54,40,6.93
18,Safaga,EG,2020-06-18 05:27:43,26.73,33.94,84.2,42,0,19.46
19,Gornopravdinsk,RU,2020-06-18 05:27:43,60.05,69.9,54.91,41,47,9.8
20,Severo-Kurilsk,RU,2020-06-18 05:27:43,50.68,156.12,46.33,82,72,3.56
21,Vasylivka,UA,2020-06-18 05:27:43,47.44,35.27,75.2,64,66,8.95
22,Sabya,SA,2020-06-18 05:27:43,17.15,42.63,91.4,75,20,6.93
23,Flinders,AU,2020-06-18 05:27:44,-34.58,150.86,62.01,58,72,5.01
24,New Norfolk,AU,2020-06-18 05:27:44,-42.78,147.06,46.99,77,77,1.83
25,Atuona,PF,2020-06-18 05:27:44,-9.8,-139.03,80.44,76,74,13.38
26,Badou,TG,2020-06-18 05:27:44,7.58,0.6,72.64,93,97,2.59
27,Khatanga,RU,2020-06-18 05:27:44,71.97,102.5,56.91,36,90,3.74
28,Ucluelet,CA,2020-06-18 05:22:56,48.93,-125.55,55.0,85,99,7.52
29,Fukue,JP,2020-06-18 05:27:45,32.69,128.84,75.2,100,75,14.99
30,Tezu,IN,2020-06-18 05:27:45,27.92,96.17,77.31,87,100,2.62
31,Jamestown,US,2020-06-18 05:24:38,42.1,-79.24,66.2,63,1,4.81
32,Talnakh,RU,2020-06-18 05:27:45,69.49,88.4,48.2,36,100,4.47
33,Tasiilaq,GL,2020-06-18 05:27:46,65.61,-37.64,39.2,80,100,25.28
34,Qaanaaq,GL,2020-06-18 05:27:46,77.48,-69.36,28.26,94,50,1.48
35,Aswan,EG,2020-06-18 05:27:46,24.09,32.91,89.17,24,0,15.23
36,Ulladulla,AU,2020-06-18 05:27:46,-35.35,150.47,61.0,55,20,10.29
37,Pevek,RU,2020-06-18 05:27:46,69.7,170.31,43.39,64,99,11.68
38,Cherskiy,RU,2020-06-18 05:27:47,68.75,161.3,80.8,24,57,9.66
39,Amga,RU,2020-06-18 05:27:47,60.9,131.96,78.51,24,90,7.99
40,Kodiak,US,2020-06-18 05:27:47,57.79,-152.41,50.0,87,90,11.41
41,Port Elizabeth,ZA,2020-06-18 05:27:47,-33.92,25.57,44.6,87,0,2.24
42,Dikson,RU,2020-06-18 05:27:47,73.51,80.55,32.9,92,9,7.78
43,Port Alfred,ZA,2020-06-18 05:27:47,-33.59,26.89,53.01,69,0,1.01
44,Qasigiannguit,GL,2020-06-18 05:27:48,68.82,-51.19,33.8,86,12,3.36
45,Dukat,RU,2020-06-18 05:27:48,62.55,155.55,67.32,33,65,9.15
46,Ribeira Grande,PT,2020-06-18 05:27:48,38.52,-28.7,62.83,75,95,4.32
47,Pitimbu,BR,2020-06-18 05:26:54,-7.47,-34.81,75.25,85,10,11.41
48,Grand-Lahou,CI,2020-06-18 05:27:48,5.14,-5.02,76.87,88,98,11.86
49,Okhotsk,RU,2020-06-18 05:27:49,59.38,143.3,51.19,81,98,9.73
50,Cape Town,ZA,2020-06-18 05:27:09,-33.93,18.42,50.0,61,0,4.7
51,Husavik,IS,2020-06-18 05:27:49,66.04,-17.34,44.6,81,93,5.82
52,Castro,BR,2020-06-18 05:27:49,-24.79,-50.01,54.55,96,71,5.7
53,Busselton,AU,2020-06-18 05:26:43,-33.65,115.33,57.99,71,23,17.92
54,Bambous Virieux,MU,2020-06-18 05:27:49,-20.34,57.76,73.0,78,75,18.34
55,Sidi Ali,DZ,2020-06-18 05:27:50,36.1,0.42,66.69,69,92,2.13
56,Antofagasta,CL,2020-06-18 05:23:45,-23.65,-70.4,57.2,93,40,13.87
57,Hithadhoo,MV,2020-06-18 05:27:50,-0.6,73.08,83.97,76,43,10.56
58,Mitla,MX,2020-06-18 05:27:50,16.92,-96.4,62.44,85,31,4.07
59,Sur,OM,2020-06-18 05:27:50,22.57,59.53,96.91,39,38,11.43
60,Punta Arenas,CL,2020-06-18 05:24:56,-53.15,-70.92,30.2,92,0,4.7
61,Carutapera,BR,2020-06-18 05:27:51,-1.2,-46.02,73.9,93,10,4.0
62,Sibolga,ID,2020-06-18 05:27:51,1.74,98.78,79.61,77,99,5.91
63,Vila Franca Do Campo,PT,2020-06-18 05:27:25,37.72,-25.43,62.6,77,75,4.7
64,Lebu,CL,2020-06-18 05:27:51,-37.62,-73.65,53.01,86,100,28.27
65,Touros,BR,2020-06-18 05:27:51,-5.2,-35.46,69.8,100,7,4.7
66,Nouadhibou,MR,2020-06-18 05:27:52,20.93,-17.03,77.0,61,6,20.8
67,Hobart,AU,2020-06-18 05:24:01,-42.88,147.33,50.0,66,75,1.12
68,Lingdong,CN,2020-06-18 05:27:52,46.57,131.15,62.26,64,89,6.38
69,Bouca,CF,2020-06-18 05:27:52,6.51,18.27,70.68,92,100,1.5
70,Geraldton,AU,2020-06-18 05:27:52,-28.77,114.6,66.2,55,40,14.99
71,Beringovskiy,RU,2020-06-18 05:27:53,63.05,179.32,50.7,57,15,3.44
72,Patos De Minas,BR,2020-06-18 05:27:53,-18.58,-46.52,62.01,49,22,7.0
73,Iqaluit,CA,2020-06-18 05:27:53,63.75,-68.51,37.4,74,90,6.93
74,Norrtalje,SE,2020-06-18 05:27:53,59.76,18.7,60.01,86,0,4.0
75,Masterton,NZ,2020-06-18 05:27:53,-40.96,175.66,53.01,89,100,1.01
76,George,ZA,2020-06-18 05:27:54,-33.96,22.46,62.6,42,0,13.87
77,Elat,IL,2020-06-18 05:27:54,29.56,34.95,86.0,22,0,13.87
